ID,Classroom,Building,Room Number,Room Type,WD Room Type,Department,Seating Capacity,Technology/Equipment Additional Notes,Technology Details,PC CCID,Computer System,Operating System,Optical Drive (DVD/Blu-Ray),Wireless Projection (Solstice),Number of Lab Computers,Record / Stream,Video Conferencing (Zoom Room),Is Venue,Description,Equipment,Features,Seating (Fixed/Open),Seating (capacity),Microphones
8413,Alfond 205,Alfond,205,Classroom,Classroom,All,20,TV,"HDMI, VGA",,,,,,,No,No,,,,,,,
8414,Alfond 305,Alfond,305,Classroom,Classroom,,,,,,,,,,,No,No,,,,,,,
8415,Alfond 405,Alfond,405,Classroom,Classroom,All,20,TV,"HDMI, VGA",,,,,,,No,No,,,,,,,
8416,Alfond 505,Alfond,505,Classroom,Classroom,,,Projector,"HDMI, VGA",,,,No,Yes,,No,No,,,,,,,
8410,Alfond Chace Forum,Alfond,Chace Forum,Forum,Lecture Hall,All,100,,,,,,,,,No,No,,,,,,,
6816,Arey 001,Arey,1,Lab/Seminar,Instructional Lab,Bio,16,"class macs, instructor computer, projector ",,190347,iMac,Mac,No,No,6,No,No,,,,,,,
6810,Arey 005,Arey,5,Auditorium,Lecture Hall,Bio/Chem/Cinema,125,"Projector, Cinema projector, Surround sound",Oppo BluRay,220265,Mac Mini,Both,Yes,No,,Yes,No,Yes,"The most notable feature is twin projection modes. Its classroom projector works like a Colby classroom, leaving the chalkboard visible; in theatrical mode, a larger screen is well-suited for screening feature films.","2 microphones, Built in Mac mini, Projector, Solstice, Blu-Ray Player","7.1 Surround Sound (when using Blu-Ray), HDMI video output",Fixed,129,2
6817,Arey 201,Arey,201,Lab/Seminar,Instructional Lab,Bio ,18,"Projector, Side TV, classroom iMacs ",,230115,iMac,Mac,No,No,9,No,No,,,,,,,
6818,Arey 202,Arey,202,Lab/Seminar,Instructional Lab,Bio ,18,"Projector, Side TV, 9 iMacs",,230125,iMac,Mac,No,No,9,No,No,,,,,,,
6819,Arey 205,Arey,205,Lab/Seminar,Instructional Lab,Bio,18,"Projector, 9 Classroom iMacs, Printer",,230135,iMac,Mac,No,No,9,No,No,,,,,,,
6820,Arey 207,Arey,207,Lab/Seminar,Instructional Lab,Bio,19,"Projector, 9Classroom iMacs",,230145,iMac,Mac,No,No,9,No,No,,,,,,,
1,Arey 302,Arey,302,Lab/Seminar,Instructional Lab,,12,2 classroom imacs,,180008,PC,Windows,No,No,2,No,No,,,,,,,
6821,Arey 305,Arey,305,Lab/Seminar,Instructional Lab,Bio,18,"Projector, 6 Classroom iMacs",,,iMac,Mac,No,No,6,No,No,,,,,,,
6822,Arey 307,Arey,307,Lab/Seminar,Instructional Lab,Bio,24,"Projector, Printer",,190318,iMac,Mac,No,No,,No,No,,,,,,,
6735,Bixler 075,Bixler,75,Classroom,Classroom,Art,40,"Projector, Doc Cam (ELMO)",,210932,Mac Mini,Mac,No,No,,No,No,,,,,,,
6736,Bixler 102,Bixler,102,Seminar,Classroom,Art/Music,20,Projector,,210159,Mac Mini,Mac,Yes,No,,No,No,,,,,,,
6823,Bixler 117,Bixler,117,Studio,Studio,Art,20,,,,,,,,,No,No,,,,,,,
6737,Bixler 132,Bixler,132,Class/Cluster,Classroom,Art/Music,16,"Projector, 16 Classroom iMacs, Apple TV",Oppo bluray,200545,iMac,Mac,Yes,No,,No,No,,,,,,,
6738,Bixler 142,Bixler,142,Seminar,Classroom,Art/Music,10,,,,,,,,,No,No,,,,,,,
6739,Bixler 150,Bixler,150,Classroom,Classroom,Music/Art,30,Projector,Oppo bluray,220270,Mac Mini,Mac,Yes,No,,No,No,,,,,,,
