ID,Room Name,Building,Room Number,Room Type,WD Room Type,Department,Seating,"Technology/Equipment Additional Notes",Technology Details,PC CCID,System,System Name,Operating System,Optical Drive,"Wireless Projection (Solstice)",Number of Lab Computers,Record / Stream,"Video Conferencing (Zoom Room)",Phone in Room,Photo Index,Photo URL,Photo 360 View,,,,,,,,
8413,Alfond 205,Alfond,205,Classroom,Classroom,All,20,TV,"HDMI, VGA",,,,,,,,No,No,,,,,,,,,,,,
8414,Alfond 305,Alfond,305,Classroom,Classroom,,,,,,,,,,,,No,No,,,,,,,,,,,,
8415,Alfond 405,Alfond,405,Classroom,Classroom,All,20,TV,"HDMI, VGA",,,,,,,,No,No,,,,,,,,,,,,
8416,Alfond 505,Alfond,505,Classroom,Classroom,,,Projector,"HDMI, VGA",,,,,No,Yes,,No,No,,,,,,,,,,,,
8410,Alfond Chace Forum,Alfond,Chace Forum,Forum,Lecture Hall,All,100,,,,,,,,,,No,No,,,,,,,,,,,,
6816,Arey 001,Arey,1,Lab/Seminar,Instructional Lab,Bio,16,"class macs, instructor computer, projector ",,190347,iMac,,Mac,No,No,6,No,No,,90,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Arey_1_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Arey_1_2024.jpg""]",,,,,,,,
6810,Arey 005,Arey,5,Auditorium,Lecture Hall,Bio/Chem/Cinema,125,"Projector, Cinema projector, Surround sound",Oppo BluRay,220265,Mac Mini,,Both,Yes,No,,Yes,No,,91,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Arey_5_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Arey_5_2024.jpg""]",,,,,,,,
6817,Arey 201,Arey,201,Lab/Seminar,Instructional Lab,Bio ,18,"Projector, Side TV, classroom iMacs ",,230115,iMac,,Mac,No,No,9,No,No,,92,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Arey_201_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Arey_201_2024.jpg""]",,,,,,,,
6818,Arey 202,Arey,202,Lab/Seminar,Instructional Lab,Bio ,18,"Projector, Side TV, 9 iMacs",,230125,iMac,,Mac,No,No,9,No,No,,93,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Arey_202_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Arey_202_2024.jpg""]",,,,,,,,
6819,Arey 205,Arey,205,Lab/Seminar,Instructional Lab,Bio,18,"Projector, 9 Classroom iMacs, Printer",,230135,iMac,,Mac,No,No,9,No,No,,94,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Arey_205_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Arey_205_2024.jpg""]",,,,,,,,
6820,Arey 207,Arey,207,Lab/Seminar,Instructional Lab,Bio,19,"Projector, 9Classroom iMacs",,230145,iMac,,Mac,No,No,9,No,No,,95,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Arey_207_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Arey_207_2024.jpg""]",,,,,,,,
